l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,600156.SH,华升股份,20170629,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600157.SH,永泰能源,20210730,,Y
801210.SI,社会服务,801216.SI,体育Ⅱ,852161.SI,体育Ⅲ,600158.SH,中体产业,20170526,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600159.SH,大龙地产,19980526,,Y
801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工,600160.SH,巨化股份,19980626,,Y
801150.SI,医药生物,801152.SI,生物制品,851522.SI,血液制品,600161.SH,天坛生物,19980616,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600162.SH,香江控股,19980609,,Y
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,600163.SH,中闽能源,19980602,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,600165.SH,*ST宁科,20190724,,Y
801880.SI,汽车,801096.SI,商用车,850912.SI,商用载货车,600166.SH,福田汽车,20210730,,Y
801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务,600167.SH,联美控股,19990128,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600168.SH,武汉控股,19980427,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,600169.SH,太原重工,19980904,,Y
801720.SI,建筑装饰,801721.SI,房屋建设Ⅱ,850623.SI,房屋建设Ⅲ,600170.SH,上海建工,19980623,,Y
801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计,600171.SH,上海贝岭,19980924,,Y
801890.SI,机械设备,801072.SI,通用设备,850713.SI,磨具磨料,600172.SH,黄河旋风,19981126,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600173.SH,卧龙地产,19990415,,Y
801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ,600175.SH,退市美都(退市),20171211,,Y
801710.SI,建筑材料,801712.SI,玻璃玻纤,857122.SI,玻纤制造,600176.SH,中国巨石,19990104,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,600177.SH,雅戈尔,20210730,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,600178.SH,东安动力,19981014,,Y
801170.SI,交通运输,801992.SI,航运港口,851761.SI,航运,600179.SH,安通控股,20211203,,Y
801170.SI,交通运输,801178.SI,物流,851782.SI,原材料供应链服务,600180.SH,瑞茂通,20121231,,Y
801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药,600181.SH,*ST云大(退市),19980928,,Y
801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂,600182.SH,S佳通,19990104,,Y
801080.SI,电子,801083.SI,元件,850822.SI,印制电路板,600183.SH,生益科技,19981028,,Y
801740.SI,国防军工,801743.SI,地面兵装Ⅱ,857431.SI,地面兵装Ⅲ,600184.SH,光电股份,20031104,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600185.SH,格力地产,19990611,,Y
801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,851242.SI,调味发酵品Ⅲ,600186.SH,莲花控股,20210730,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600187.SH,国中水务,19981111,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859511.SI,动力煤,600188.SH,兖矿能源,19980701,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,600189.SH,泉阳泉,20190724,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600190.SH,ST锦港,20210730,,Y
801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,600191.SH,华资实业,19981210,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600192.SH,长城电工,19981224,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,600193.SH,创兴资源,20121231,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,600195.SH,中牧股份,19990107,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600196.SH,复星医药,19980807,,Y
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,600197.SH,伊力特,19990916,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,600198.SH,大唐电信,20220729,,Y
801120.SI,食品饮料,801125.SI,白酒Ⅱ,851251.SI,白酒Ⅲ,600199.SH,金种子酒,19980812,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600200.SH,江苏吴中,20190724,,Y
801010.SI,农林牧渔,801018.SI,动物保健Ⅱ,850181.SI,动物保健Ⅲ,600201.SH,生物股份,19980115,,Y
801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备,600202.SH,哈空调,20220729,,Y
801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装,600203.SH,福日电子,20170629,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,600205.SH,S山东铝(退市),19990630,,Y
801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料,600206.SH,有研新材,20210730,,Y
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,600207.SH,安彩高科,20180713,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600208.SH,新湖中宝,19990623,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,600209.SH,退市罗顿(退市),20121008,,Y
801140.SI,轻工制造,801141.SI,包装印刷,851424.SI,塑料包装,600210.SH,紫江企业,19990824,,Y
801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品,600211.SH,西藏药业,20230704,,Y
801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ,600212.SH,绿能慧充,20230704,,Y
801880.SI,汽车,801096.SI,商用车,850913.SI,商用载客车,600213.SH,*ST亚星,20210730,,Y
801890.SI,机械设备,801078.SI,自动化设备,850781.SI,机器人,600215.SH,派斯林,20220729,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,600216.SH,浙江医药,19991021,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,600217.SH,中再资环,20150701,,Y
801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统,600218.SH,全柴动力,19981203,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,600219.SH,南山铝业,19991223,,Y
801130.SI,纺织服饰,801131.SI,纺织制造,851316.SI,其他纺织,600220.SH,ST阳光(退市),19990927,,Y
801170.SI,交通运输,801991.SI,航空机场,851741.SI,航空运输,600221.SH,海航控股,20210730,,Y
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600222.SH,太龙药业,19991105,,Y
801980.SI,美容护理,801982.SI,化妆品,859822.SI,品牌化妆品,600223.SH,福瑞达,20240202,,Y
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600225.SH,卓朗科技,20220729,,Y
801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务,600226.SH,亨通股份,20220729,,Y
801030.SI,基础化工,801038.SI,农化制品,850331.SI,氮肥,600227.SH,赤天化,20220729,,Y
801760.SI,传媒,801767.SI,数字媒体,857674.SI,门户网站,600228.SH,返利科技,20210819,,Y
801760.SI,传媒,801769.SI,出版,857692.SI,大众出版,600229.SH,城市传媒,20170526,,Y
801030.SI,基础化工,801034.SI,化学制品,850372.SI,聚氨酯,600230.SH,沧州大化,20111010,,Y
801040.SI,钢铁,801044.SI,普钢,850441.SI,长材,600231.SH,凌钢股份,20000424,,Y
801890.SI,机械设备,801074.SI,专用设备,850721.SI,纺织服装设备,600232.SH,金鹰股份,20000424,,Y
801170.SI,交通运输,801178.SI,物流,851784.SI,快递,600233.SH,圆通速递,20000424,,Y
801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ,600234.SH,*ST科新,20230704,,Y
801140.SI,轻工制造,801143.SI,造纸,851413.SI,特种纸,600235.SH,民丰特纸,20000615,,Y
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600236.SH,桂冠电力,20000323,,Y
801080.SI,电子,801083.SI,元件,850823.SI,被动元件,600237.SH,铜峰电子,20000609,,Y
801120.SI,食品饮料,801126.SI,非白酒,851233.SI,其他酒类,600238.SH,海南椰岛,20210730,,Y
801180.SI,房地产,801181.SI,房地产开发,851812.SI,商业地产,600239.SH,云南城投,20230704,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600240.SH,退市华业(退市),20000628,,Y
801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池,600241.SH,时代万恒,20220729,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,600242.SH,退市中昌(退市),20170629,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,600243.SH,青海华鼎,20170629,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600246.SH,万通发展,20020902,,Y
801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营,600247.SH,*ST成城(退市),20210730,,Y
801720.SI,建筑装饰,801721.SI,房屋建设Ⅱ,850623.SI,房屋建设Ⅲ,600248.SH,陕建股份,20210730,,Y
801980.SI,美容护理,801981.SI,个护用品,859812.SI,洗护用品,600249.SH,两面针,20040129,,Y
801200.SI,商贸零售,801202.SI,贸易Ⅱ,852021.SI,贸易Ⅲ,600250.SH,南京商旅,20010306,,Y
801010.SI,农林牧渔,801012.SI,农产品加工,850151.SI,果蔬加工,600251.SH,冠农股份,20170522,,Y
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600252.SH,中恒集团,20110110,,Y
801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药,600253.SH,天方药业(退市),20001227,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,600255.SH,鑫科材料,20210730,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,600256.SH,广汇能源,20000424,,Y
801010.SI,农林牧渔,801015.SI,渔业,850122.SI,水产养殖,600257.SH,大湖股份,20000612,,Y
801210.SI,社会服务,801219.SI,酒店餐饮,852121.SI,酒店,600258.SH,首旅酒店,20210730,,Y
801050.SI,有色金属,801054.SI,小金属,850541.SI,稀土,600259.SH,广晟有色,20100601,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,600260.SH,*ST凯乐(退市),20170629,,Y
801110.SI,家用电器,801115.SI,照明设备Ⅱ,851151.SI,照明设备Ⅲ,600261.SH,阳光照明,20210730,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,600262.SH,北方股份,20180713,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600263.SH,路桥建设(退市),20000725,,Y
801010.SI,农林牧渔,801011.SI,林业Ⅱ,850131.SI,林业Ⅲ,600265.SH,景谷林业,20000825,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600266.SH,城建发展,19981209,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600267.SH,海正药业,20220729,,Y
801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备,600268.SH,国电南自,20210730,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600269.SH,赣粤高速,20210730,,Y
801170.SI,交通运输,801179.SI,铁路公路,851721.SI,公交,600270.SH,外运发展(退市),20001228,,Y
801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ,600271.SH,航天信息,20210730,,Y
801150.SI,医药生物,801154.SI,医药商业,851542.SI,医药流通,600272.SH,开开实业,20010228,,Y
801030.SI,基础化工,801034.SI,化学制品,850339.SI,其他化学制品,600273.SH,嘉化能源,20150701,,Y
801010.SI,农林牧渔,801015.SI,渔业,850122.SI,水产养殖,600275.SH,退市昌鱼(退市),20180713,,Y
801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂,600276.SH,恒瑞医药,20080102,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,600277.SH,ST亿利(退市),20170629,,Y
801200.SI,商贸零售,801202.SI,贸易Ⅱ,852021.SI,贸易Ⅲ,600278.SH,东方创业,20000712,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600279.SH,重庆港,20210730,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600280.SH,中央商场,20000926,,Y
801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属,600281.SH,华阳新材,20210730,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600282.SH,南钢股份,20000919,,Y
801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理,600283.SH,钱江水利,20000915,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600284.SH,浦东建设,20040311,,Y
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600285.SH,羚锐制药,20001018,,Y
801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材,600286.SH,S*ST国瓷(退市),19991209,,Y
801200.SI,商贸零售,801202.SI,贸易Ⅱ,852021.SI,贸易Ⅲ,600287.SH,ST舜天,20000901,,Y
801080.SI,电子,801082.SI,其他电子Ⅱ,850841.SI,其他电子Ⅲ,600288.SH,大恒科技,20001129,,Y
801770.SI,通信,801223.SI,通信服务,852213.SI,通信工程及服务,600289.SH,*ST信通,20000720,,Y
801790.SI,非银金融,801194.SI,保险Ⅱ,851941.SI,保险Ⅲ,600291.SH,退市西水(退市),20000731,,Y
801970.SI,环保,801971.SI,环境治理,859711.SI,大气治理,600292.SH,远达环保,20121231,,Y
801710.SI,建筑材料,801712.SI,玻璃玻纤,857121.SI,玻璃制造,600293.SH,三峡新材,20170629,,Y
801040.SI,钢铁,801043.SI,冶钢原料,850432.SI,冶钢辅料,600295.SH,鄂尔多斯,20010426,,Y
801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝,600296.SH,S兰铝(退市),20000719,,Y
801880.SI,汽车,801092.SI,汽车服务,850232.SI,汽车经销商,600297.SH,广汇汽车,20150701,,Y
801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,851242.SI,调味发酵品Ⅲ,600298.SH,安琪酵母,20210730,,Y
801030.SI,基础化工,801034.SI,化学制品,850135.SI,食品及饲料添加剂,600299.SH,安迪苏,20210730,,Y
801120.SI,食品饮料,801127.SI,饮料乳品,851271.SI,软饮料,600300.SH,维维股份,20000629,,Y
801720.SI,建筑装饰,801726.SI,工程咨询服务Ⅱ,857261.SI,工程咨询服务Ⅲ,600301.SH,华锡有色,20220729,,Y
801890.SI,机械设备,801074.SI,专用设备,850721.SI,纺织服装设备,600302.SH,标准股份,20001213,,Y
801880.SI,汽车,801096.SI,商用车,850913.SI,商用载客车,600303.SH,ST曙光,20210730,,Y
801120.SI,食品饮料,801129.SI,调味发酵品Ⅱ,851242.SI,调味发酵品Ⅲ,600305.SH,恒顺醋业,20210730,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600306.SH,退市商城(退市),20001226,,Y
801040.SI,钢铁,801044.SI,普钢,850442.SI,板材,600307.SH,酒钢宏兴,20001220,,Y
801140.SI,轻工制造,801143.SI,造纸,851412.SI,大宗用纸,600308.SH,华泰股份,20000928,,Y
801030.SI,基础化工,801034.SI,化学制品,850372.SI,聚氨酯,600309.SH,万华化学,20010105,,Y
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,600310.SH,广西能源,20210730,,Y
801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金,600311.SH,*ST荣华(退市),20140102,,Y
801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备,600312.SH,平高电气,20010221,,Y
801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,600313.SH,农发种业,20110110,,Y
801980.SI,美容护理,801982.SI,化妆品,859822.SI,品牌化妆品,600315.SH,上海家化,20010315,,Y
801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ,600316.SH,洪都航空,20001214,,Y
801170.SI,交通运输,801992.SI,航运港口,851711.SI,港口,600317.SH,营口港(退市),20010205,,Y
801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股,600318.SH,新力金融,20170629,,Y
801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱,600319.SH,亚星化学,20190724,,Y
801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备,600320.SH,振华重工,20001221,,Y
801720.SI,建筑装饰,801724.SI,专业工程,857244.SI,其他专业工程,600321.SH,正源股份(退市),20220729,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600322.SH,津投城开,20010806,,Y
801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理,600323.SH,瀚蓝环境,20001225,,Y
801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发,600325.SH,华发股份,20040225,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,600326.SH,西藏天路,20060901,,Y
801200.SI,商贸零售,801203.SI,一般零售,852031.SI,百货,600327.SH,大东方,20230704,,Y
801030.SI,基础化工,801033.SI,化学原料,850323.SI,无机盐,600328.SH,中盐化工,20001222,,Y
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600329.SH,达仁堂,20010606,,Y
801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备,600330.SH,天通股份,20210730,,Y
801030.SI,基础化工,801038.SI,农化制品,850332.SI,磷肥及磷化工,600331.SH,宏达股份,20220729,,Y
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600332.SH,白云山,20010206,,Y
801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ,600333.SH,长春燃气,20001211,,Y
801880.SI,汽车,801092.SI,汽车服务,850232.SI,汽车经销商,600335.SH,国机汽车,20010305,,Y
801110.SI,家用电器,801111.SI,白色家电,851116.SI,冰洗,600336.SH,澳柯玛,20001229,,Y
801140.SI,轻工制造,801142.SI,家居用品,851437.SI,成品家居,600337.SH,美克家居,20001127,,Y
801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌,600338.SH,西藏珠峰,20001227,,Y
801960.SI,石油石化,801962.SI,油服工程,859622.SI,油气及炼化工程,600339.SH,中油工程,20170629,,Y
801180.SI,房地产,801181.SI,房地产开发,851813.SI,产业地产,600340.SH,华夏幸福,20210730,,Y
801890.SI,机械设备,801072.SI,通用设备,850716.SI,其他通用设备,600343.SH,航天动力,20220729,,Y
801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备,600345.SH,长江通信,20001222,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600346.SH,恒力石化,20210730,,Y
801950.SI,煤炭,801951.SI,煤炭开采,859512.SI,焦煤,600348.SH,华阳股份,20030819,,Y
801170.SI,交通运输,801179.SI,铁路公路,851731.SI,高速公路,600350.SH,山东高速,20210730,,Y
801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ,600351.SH,亚宝药业,20020920,,Y
801030.SI,基础化工,801034.SI,化学制品,850338.SI,纺织化学制品,600352.SH,浙江龙盛,20080102,,Y
801080.SI,电子,801082.SI,其他电子Ⅱ,850841.SI,其他电子Ⅲ,600353.SH,旭光电子,20060901,,Y
801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,600354.SH,敦煌种业,20070702,,Y
801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件,600355.SH,精伦电子,20020612,,Y
801140.SI,轻工制造,801143.SI,造纸,851413.SI,特种纸,600356.SH,恒丰纸业,20010419,,Y
801040.SI,钢铁,801044.SI,普钢,850443.SI,钢铁管材,600357.SH,承德钒钛(退市),20020820,,Y
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,600358.SH,国旅联合,20210730,,Y
